Pagina;Codigo (PDF Consulta);Codigo (OCR Boletos);Status Codigo;Valor (PDF Consulta);Valor (OCR Boletos);Status Valor;Status Geral
211;52990;52990;OK;82,30;82,30;OK;OK
212;27150;27150;OK;82,30;82,30;OK;OK
213;84970;84970;OK;76,82;76,82;OK;OK
214;93760;93760;OK;98,33;98,33;OK;OK
215;21910;21910;OK;82,30;82,30;OK;OK
216;26940;26940;OK;87,60;87,60;OK;OK
217;106420;106420;OK;82,30;82,30;OK;OK
218;67980;67980;OK;82,30;82,30;OK;OK
219;100340;100340;OK;96,02;96,02;OK;OK
220;23680;23680;OK;82,30;82,30;OK;OK
221;30130;30130;OK;75,45;75,45;OK;OK
222;25800;25800;OK;82,30;82,30;OK;OK
223;39220;39220;OK;79,13;79,13;OK;OK
224;74860;74860;OK;112,76;112,76;OK;OK
225;38620;38620;OK;82,30;82,30;OK;OK
226;63110;63110;OK;76,82;76,82;OK;OK
227;62150;62150;OK;82,30;82,30;OK;OK
228;28430;28430;OK;82,30;82,30;OK;OK
229;48620;48620;OK;82,30;82,30;OK;OK
230;77360;77360;OK;82,30;82,30;OK;OK
231;64310;64310;OK;142,03;142,03;OK;OK
232;128610;128610;OK;93,28;93,28;OK;OK
233;128520;128520;OK;146,60;146,60;OK;OK
234;29050;29050;OK;82,30;82,30;OK;OK
235;67550;67550;OK;82,30;82,30;OK;OK
236;113680;113680;OK;82,30;82,30;OK;OK
237;120490;120490;OK;82,30;82,30;OK;OK
238;67130;67130;OK;82,30;82,30;OK;OK
239;70210;70210;OK;82,30;82,30;OK;OK
240;92580;92580;OK;54,87;54,87;OK;OK
241;99610;99610;OK;82,30;82,30;OK;OK
242;120310;120310;OK;82,30;82,30;OK;OK
243;122090;122090;OK;101,44;101,44;OK;OK
244;124080;124080;OK;71,33;71,33;OK;OK
245;124810;124810;OK;82,30;82,30;OK;OK
246;124920;124920;OK;75,45;75,45;OK;OK
247;124930;124930;OK;75,45;75,45;OK;OK
248;124940;124940;OK;75,23;75,23;OK;OK
249;132030;132030;OK;54,87;54,87;OK;OK
250;133570;133570;OK;74,99;74,99;OK;OK
